_id,co_date,co_review
65debc9e10cac7425905e8b9,2020년 2월 11일,희귀질환 관련 소식들을 잘 정리해줘서 좋습니다. 평소에 접하기 힘들었는데 레어노트에서 한 눈에 보이도록 소개해주네요.
65debca010cac7425905e8bb,2020년 2월 6일,희귀 질환환자에게 도움이되는 앱이 나온것은 정말 중요한 일이며 제게도 몰랐던 유용한 지식과 꼭 알아야 할 정보들을 알 수 있게 되어 너무 좋았습니다. 너무 괜찮네요!! 강력히 추천해요!!:)
65debca210cac7425905e8bd,2020년 2월 15일,디자인도 이쁘고 새로운 질병.질환에 대해 알게되었고 희귀질환에대해 상세하게 잘나와있으며 환자들에게 꼭 필요한 어플이라 생각되고 유익한 어플같아요!
65debca410cac7425905e8bf,2020년 2월 18일,희귀 질환에 대해서 정보를 얻기가 쉽지않은데 쉽게 접근할 수 있고 보기쉽게 디자인되어 있어서 도움이 되네요!!
65debca610cac7425905e8c1,2020년 2월 17일,이제 앱이 희귀질환까지 관심을 가지고 치료해주다니 정말 좋네요 !!! 깔끔한 디자인도 접근성을 높아지게하네요 ㅋㅋ
65debca810cac7425905e8c3,2020년 2월 14일,나를 포함한 누구나 희귀질환환우가 될수있습니다. 환우들의 실정보를 함께공유하면서 서로 도움이될수있다고 봅니다. 사용자들이 늘어나 많은정보들이 모이고 축적될수있도록 추천합니다.
65debcaa10cac7425905e8c5,2020년 2월 10일,평소 관심 있던 의학 용어나 의료 소식 등을 접할수 있어서 좋은것 같습니다! 그리고 병으로 고통받는 많은 사람들이 이 앱으로 희망을 갖고 도움을 받을수 있었으면 좋겠습니다 좋은 앱 만들어주셔서 감사합니다!
65debcac10cac7425905e8c7,2020년 2월 18일,너무 유용한 어플이네요! 희귀질환에 관한 정보는 찾기 힘든데 이렇게 어플로 한 곳에 모아둬서 간편하게 찾을 수 있어서 좋은 것 같아요!
65debcae10cac7425905e8c9,2020년 8월 14일,어플이 다루는 희귀병들에 대해서는 참 좋은데 근육 병은 없어서 아쉽네요ㅠㅠ 근육병 항목도 만들어주시면 정말 좋을것 같아요~!
65debcb010cac7425905e8cb,2020년 2월 12일,희귀한 병으로 고통받는 환우들끼리 서로의 정보를 공유하면서 사용할수 있는 앱이 더욱 더 활발해졌으면 좋겠어요 깔끔한 정리도 맘에드네요
65debcb210cac7425905e8cd,2020년 2월 9일,흔하지 않은 희귀질환이라 관련 정보를 얻는 게 어려웠었는데 이렇게 어플로 손쉽게 접할 수 있어서 정말 유용해요. 환자분들께 큰 도움이 되고 희망도 드릴 수 있는 좋은 앱이네요~
65debcb410cac7425905e8cf,2020년 2월 9일,희귀질환 환우분들에게 큰 힘이되는 어플 감사합니다. 앞으로 지속적으로 확대 및 업데이트 기대합니다^^
65debcb610cac7425905e8d1,2020년 2월 12일,전체적으로 보기좋게 만드신것 같아요 좋은일에 사용되어 희귀질환에 대한 해결책이 나오길 바랍니다
65debcb810cac7425905e8d3,2020년 2월 21일,디자인도 심플하고 다양한 희귀질환 정보를 알수 있어 너무 좋네요!
65debcba10cac7425905e8d5,2020년 2월 14일,희귀질환종류 자료들 앞으로도 방치하지마시구 꾸준하게업데이트해주시면 좋겠습니다
65debcbd10cac7425905e8d7,2023년 8월 31일,정말 잘만든 앱인거 같아요. 도움이 되는 정보가 많고 소통공간도 있어 좋습니다.
65debcbf10cac7425905e8d9,2020년 2월 14일,희귀질환 정보를 찾기가 힘든점이 많았는데 어플로 쉽게 확인 할수 있어서 너무 좋네요!!
65debcc110cac7425905e8db,2021년 7월 11일,"희귀질환 환자, 가족들에게 지속적인 관심과 도움이 필요합니다. 희귀질환의 종류가 더 많이 등록 되어지면 좋을것 같습니다. 난치성희귀질환인 당원병 환자 아빠입니다. 이앱이 더 발전하길 기대하고 응원합니다..."
65debcc310cac7425905e8dd,2022년 2월 10일,희귀질환 환자에게는 정말 좋은 앱인 것 같습니다. 기면증도 등록되어 있으면 좋겠어요!
65debcc510cac7425905e8df,2020년 2월 14일,희귀질환에 대한 각종 정보제공기능이 좋고 전반적으로 환자들을 위한 어플이라는 생각이 들어요!
65debcc710cac7425905e8e1,2020년 2월 14일,의료 소식을 받아 볼 수 있어서 좋았습니다. 희귀 질환에 대해서 관심이 있었는데 이에 대해 자세히 정리되어 있습니다!
65debcc910cac7425905e8e3,2020년 2월 21일,희귀병관련한 앱은 거의 없는데 가짜정보아니고 실제 과학기사들을 쉽게 요약해줘서 좋네요 도움됩니다
65debccb10cac7425905e8e5,2020년 2월 14일,보기좋은 앱입니다 앱을 통해 희귀질환 환우들이 위로받을수있으면 좋겠습니다
65debccd10cac7425905e8e7,2020년 2월 18일,편리한 기능과 유용한 정보! 이런어플 만들어주셔서 감사합니다.
65debccf10cac7425905e8e9,2020년 2월 6일,모르던 희귀질환 난치병이 있다는것도 알게되고 난치병 환우분들에게 유익한정보 공유로 많은 도움이 될것같네요
65debcd110cac7425905e8eb,2021년 10월 21일,너무 좋은데 제가 가지고 있는 질병은 없어서 아쉬워요. 뇌쪽질환도 넣어주시면 좋을 것 같아요
65debcd310cac7425905e8ed,2021년 6월 21일,희귀질환 정보를 정리도잘해놓고 편히볼수있게만들어 주셔서 감사해요
65debcd510cac7425905e8ef,2021년 7월 15일,스마트폰 제거나 다시시작해보니 잘됩니다 빠른답변 빠른처리 감사합니다 고맙습니다
65debcd710cac7425905e8f1,2020년 2월 10일,요즘 코로나 때문에 이런쪽에 관심이 많아졌는데 마침 좋은 앱이 있어 받았습니다 좋은 정보 잘 얻어갈게요 감사합니다
65debcd910cac7425905e8f3,2020년 2월 8일,참 좋은 기능이네요^^ 편리하게 좋은 소식들 받아보길 기대합니다.. 감사합니다^^
65debcdb10cac7425905e8f5,2023년 8월 18일,앱을 통해 항상 좋은 소식 들려주시고 힘이 되어주셔서 감사합니다.
65debcdd10cac7425905e8f7,2020년 2월 6일,희귀질환에 대해 간편하게 볼수 있어서 좋아요~! 덕분에 많은 정보 얻게 되었습니다~!감사합니다~!!
65debcdf10cac7425905e8f9,2020년 2월 14일,디자인이 심플하면서좋아요 많은도움이될거같아요
65debce110cac7425905e8fb,2020년 2월 14일,번역정보들이많아서 활용도가높은거같네요
65debce410cac7425905e8fd,2020년 2월 18일,유전적 희귀병에 대한 최신의학연구결과를 손쉽게 접할수있어서 좋아요. 유전자 검사결과를 입력해서 더 많은 정보를 제공받을 수 있다는게 큰 차이점인것 같습니다.
65debce610cac7425905e8ff,2020년 2월 6일,"여러 질환과 다양한 정보, 의학 소식까지 있어서 참 유용합니다."
65debce810cac7425905e901,2020년 2월 6일,희귀 질병으로 고통 받고 계시는 많은분께 진짜로 필요하고 도움이 되는 앱이 되길 바라며 계속 업데이트의 중요성이 절실히 요구되는 분야이기에 계발자 및 유지하시는 분들의 꾸준한 노력이 병행되어 희귀질환이 사라질때 까지 차음의 마음이 유지되시길!
65debcea10cac7425905e903,2020년 2월 14일,희귀 질환자분들의 질병 치료를 위한 소중한 디딤돌이 되기를 응원합니다. 앱의 구성도 아주 짜임새 있어서 질병스펙트럼의 저변을 확대해나가면 점점 더 많은 데이터가 쌓이고 좋은 결과가 있을것으로 응원합니다^^
65debcec10cac7425905e905,2020년 2월 11일,희귀 질환에 대해서 잘 모르는 분들이 사용하기에 좋을 것 같습니다 잘 모르는 저에게도 큰 도움이 된 것 같습니다 희귀 질환 환자분들 파이팅
65debcee10cac7425905e907,2020년 2월 14일,좋은취지의 어플 주기적인 업데이트만 해주시면 감사하겠습니다.
65debcf010cac7425905e909,2020년 2월 11일,희귀질환으로 고생하는 환우들에게 희망이 되는 서비스네요. 우리 모두 건강한 삶을 살 수 있도록 서로 좋은 정보 공유되면 좋겠어요
65debcf210cac7425905e90b,2022년 5월 23일,여러 질환을 알 수 있어서 좋습니다 혹시 메니에르 병에 관해서도 추가가 가능할까요? 가능하다면 부탁드리겠습니다
65debcf410cac7425905e90d,2020년 2월 9일,주변에 희귀질병을 앓고있는 사람이 있어 이것저것 찾아보다가 알게되었는데 유용하네요
65debcf610cac7425905e90f,2020년 2월 14일,희귀질환을 겪고 있는 많은 환자들에게 큰 힘이 될 것 같습니다. 매우 유익한 앱입니다!
65debcf810cac7425905e911,2021년 4월 1일,제가 알고있는 희귀난치병만 100가지가 넘는걸로 아는데... 질환들이 너무 없네요..ㅠㅜ 루푸스에 관한거도 올려주세요~!
65debcfa10cac7425905e913,2021년 3월 17일,이명관련 질환도 추가해즈세요 이병도 고치기 힘들고 겪고있는 환우가 많습니다.
65debcfc10cac7425905e915,2020년 2월 6일,코로나바이러스도 이길 수 있을것 가탕요 ^-----^ 넘무 좋은것
65debcfe10cac7425905e917,2020년 2월 14일,국내희귀질환관련 유용한정보가많이 있습니다
65debd0010cac7425905e919,2020년 2월 12일,좋은 목적으로 만들어진 어플입니다 꼭 희귀질환 환자들에게 도움이 되었으면 합니다
65debd0210cac7425905e91b,2021년 12월 21일,정말 좋은데 궤양성대장염도 추가해주시면 감사하겠습니다 !
65debd0410cac7425905e91d,2020년 2월 14일,필요한 정보를 얻는 시간이 많이 줄어들것 같아 좋네요
65debd0710cac7425905e91f,2020년 2월 12일,휴먼스케이프 화이팅입니다. 지금같은 이 시국에 가장 필요한 서비스라 생각합니다.
65debd0910cac7425905e921,2020년 2월 18일,앞으로가 더욱 기대되는 정말 유용한 앱입니다. :)
65debd0b10cac7425905e923,2020년 2월 13일,저는 휴먼스케이프 구매자라서 이 앱을 이용해봤습니다. 환자나 가족 혹은 의약계들이 이용하게끔 되어 있네요. 희귀질환의 치료제 소식이 실시간 업데이트가 가능한지 궁금해요. 가능하다면 해당 치료자들에게 큰 도움이 될 건 같습니다
