_id,asmGrd,asmGrdNm,asmNm,yadmNm,ykiho
65f10f5db5a3f17e1ea366b1,1,최근우수,만성폐쇄성폐질환,어중건내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ3OSQzNjE0ODEjODEjJDEjJDIjJDgz
65f10f5db5a3f17e1ea366b2,3,3회연속,당뇨병,서울가정의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ4MiQyNjE0ODEjODEjJDEjJDYjJDgz
65f10f5db5a3f17e1ea366b3,3,3회연속,고혈압,서울성모의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ4MiQzNjE4MzIjNjEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366b4,1,최근우수,천식,서울성모의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ4MiQzNjE4MzIjNjEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366b5,1,최근우수,고혈압,연세손소아청소년과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ4OSQ0NjEwMDIjNjEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366b6,2,2회연속,천식,두리산부인과두리내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ4OSQyNjEyMjIjODEjJDEjJDYjJDgz
65f10f5db5a3f17e1ea366b7,3,3회연속,고혈압,두리산부인과두리내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ4OSQyNjEyMjIjODEjJDEjJDYjJDgz
65f10f5db5a3f17e1ea366b8,3,3회연속,고혈압,양수강남의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjEwMDIjNzEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366b9,1,최근우수,천식,프라임내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjEyMjIjNjEjJDEjJDQjJDgz
65f10f5db5a3f17e1ea366ba,1,최근우수,천식,속편한의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ5OSQyNjEyMjIjNjEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366bb,3,3회연속,고혈압,속편한의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ5OSQyNjEyMjIjNjEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366bc,1,최근우수,고혈압,연세재활의학과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ5OSQzNjE0ODEjNTEjJDEjJDIjJDgz
65f10f5db5a3f17e1ea366bd,3,3회연속,고혈압,성모가정의학과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQwMyQyNjEwMDIjNDEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366be,3,3회연속,고혈압,중앙훼미리의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQwMyQyNjEyMjIjNDEjJDEjJDQjJDgz
65f10f5db5a3f17e1ea366bf,1,최근우수,당뇨병,연무제일의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQwMyQzNjEwMDIjNjEjJDEjJDAjJDgz
